integration_step,coord0,coord1,coord2,coord3,exec_time
70,-4,9,-8,2,24487
71,-4,9,-8,0,16072
71,-4,9,-7,0,16105
71,-4,9,-7,1,18266
71,-4,9,-8,2,22493
71,-4,10,-8,0,22221
71,-4,9,-8,1,22930
71,-4,10,-8,2,22754
71,-3,9,-8,1,27897
72,-4,9,-7,0,15692
72,-4,9,-8,0,16263
72,-4,9,-6,0,17957
72,-4,9,-7,1,19958
72,-4,9,-8,1,20433
72,-4,9,-8,2,23062
72,-4,10,-8,2,22928
72,-4,9,-7,2,23531
73,-4,9,-8,0,16695
73,-4,9,-7,0,17497
73,-4,9,-8,1,19939
73,-4,9,-7,1,20132
73,-4,9,-8,2,24895
73,-3,9,-8,0,24885
73,-4,9,-7,2,25457
73,-3,9,-8,2,42026
74,-4,9,-8,0,15676
74,-4,9,-7,0,18957
74,-4,9,-7,1,19077
74,-4,9,-8,1,19427
74,-4,9,-7,2,20546
74,-4,10,-8,1,20831
74,-4,9,-8,2,22564
74,-3,9,-7,0,27099
75,-4,9,-7,0,12872
75,-4,9,-8,0,14836
75,-4,10,-8,0,15573
75,-4,9,-8,1,19015
75,-4,9,-7,1,17182
75,-4,9,-6,0,18884
75,-4,9,-8,2,21738
75,-4,9,-7,2,19792
76,-4,9,-7,0,14465
76,-4,9,-8,0,16786
76,-4,9,-7,1,16940
76,-4,9,-8,1,19107
76,-4,10,-8,1,19222
76,-4,10,-7,0,20877
76,-4,9,-8,2,21755
76,-3,9,-8,0,28123
77,-4,9,-7,0,14050
77,-4,10,-7,0,14259
77,-4,9,-8,0,15952
77,-4,9,-6,1,16724
77,-4,9,-7,1,17324
77,-4,9,-8,1,19095
77,-4,10,-7,1,16277
77,-4,9,-8,2,21894
78,-4,9,-6,0,12881
78,-4,9,-8,0,15598
78,-4,9,-6,1,15616
78,-4,9,-7,0,15973
78,-4,9,-7,1,17066
78,-4,9,-8,1,19176
78,-3,9,-8,0,22527
78,-3,9,-8,1,31483
79,-4,9,-7,0,16074
79,-4,10,-8,0,15713
79,-4,9,-8,0,17507
79,-4,9,-7,1,21716
79,-4,9,-8,1,22612
79,-4,9,-8,2,23192
79,-3,9,-7,0,23752
79,-3,9,-8,1,29235
80,-4,10,-8,0,15689
80,-4,9,-7,0,17156
80,-4,9,-8,0,17725
80,-4,9,-7,1,18086
80,-4,9,-8,1,19493
80,-3,9,-8,0,23002
80,-4,10,-8,2,23437
80,-4,9,-8,2,26039
81,-4,9,-7,1,19112
81,-4,9,-8,1,19506
81,-4,9,-8,0,20148
81,-4,9,-7,0,20882
81,-4,9,-8,2,24256
81,-3,9,-8,0,26920
81,-3,9,-8,1,29974
81,-3,9,-8,2,35685
82,-4,9,-8,0,14126
82,-4,9,-7,0,14494
82,-4,9,-7,1,18044
82,-4,10,-7,0,17006
82,-4,9,-7,2,20538
82,-4,9,-8,1,21992
82,-4,9,-8,2,21914
82,-4,10,-8,2,21279
83,-4,9,-7,0,13129
83,-4,9,-6,0,14239
83,-4,9,-8,0,17263
83,-4,10,-8,0,15834
83,-4,9,-8,1,20478
83,-4,9,-8,2,20917
83,-3,9,-7,0,23885
83,-3,9,-8,1,26844
84,-4,9,-7,0,12273
